Inquiries_English,Main_Topic,Sub_Topic,Sub_Topic_English,Sub_Topic_Question,Established_Response,Established_Response_Tagalog
"Which documents should be submitted for contract processing and documentation   
of new hires?",Pre-Deployment,Mga Kontrata at Mga Kailangan,Contracts and Requirements,Aling mga dokumento ang dapat isumite para sa pagproseso at dokumentasyon ng kontrata ng mga bagong hire?,"The following documents shall be submitted for contract processing and documentation   
of new hires:
a. Request for processing (RFP) using the POEA-prescribed form indicating the
following:
1. name of OFW;
2. position;
3. salary;
4. contract duration;
5. job site;
6. particulars of certificate of cover of mandatory insurance; and
7. name of principal based on the POEA-approved master
employment contract.
b. Passport valid at least six (6) months from the intended date of departure;
c. Valid and appropriate visa;
d. Individual verified employment contracts for low/semi-skilled workers;
e. One-page summary of the contract for other highly-skilled and professional
Overseas Filipino Workers containing the following basic contract provisions:
1. name, birthdate, and sex of the worker;
2. name of employer;
3. job site;
4. position;
5. basic salary, overtime pay, and allowances;
6. food and accommodation;
7. contract duration; and                                                                                                      f. Pre-Employment Orientation Seminar (PEOS) and Pre-Departure Orientation
Seminar (PDOS) Certificates;
g. Certificate of medical fitness issued by DOH-accredited medical clinics for
OFWs;
8
h. Educational attainment; and
i. TESDA Skill Certification                                                                                                           ","Ang mga sumusunod na dokumento ay dapat isumite para sa pagproseso at dokumentasyon ng kontrata ng mga bagong hires:

a. Request para sa pagproseso (RFP) gamit ang form ng POEA na nagpapahiwatig ng
sumusunod:
1. Pangalan ng OFW;
2. Posisyon;
3. Salary;
4. Tagal ng Kontrata;
5. Site ng trabaho;
6. Mga detalye ng sertipiko ng mandatory insurance;at
7. Pangalan ng punong-guro batay sa master na inaprubahan ng POEA
kontrata sa pagtatrabaho.
b. Pasaporte ng hindi bababa sa anim (6) buwan mula sa inilaan na petsa ng pag -alis;
c. May visa at naaangkop na visa;
d. Indibidwal na na-verify na mga kontrata sa pagtatrabaho para sa mga mababang/semi-bihasang manggagawa;
e. Isang pahina ng buod ng kontrata para sa iba pang may kasanayan at propesyonal

Ang mga manggagawa sa Overseas na naglalaman ng mga sumusunod na pangunahing probisyon ng kontrata:
1. Pangalan, kapanganakan, at kasarian ng manggagawa;
2. Pangalan ng employer;
3. site ng trabaho;
4. Posisyon;
5. Pangunahing suweldo, pagbabayad ng overtime, at mga allowances;
6. Pagkain at tirahan;
7. Tagal ng Kontrata; at 

f. Pre-Employment Orientation Seminar (PEOS) at Pre-Departure Orientation Mga sertipiko ng Seminar (PDOS);

g. Sertipiko ng medikal na fitness na inisyu ng DOH-accredited na mga klinika sa medisina para sa OFWS;

h. Nakamit na pang -edukasyon; at

i. Sertipikasyon ng kasanayan sa TESDA"
"Which documents should be submitted for contract processing and documentation   
of newly hired domestic workers?",Pre-Deployment,Mga Kontrata at Mga Kailangan,Contracts and Requirements,Aling mga dokumento ang dapat isumite para sa pagproseso at dokumentasyon ng kontrata ng mga bagong upahang kasambahay?,"The following documents shall be submitted for contract processing and documentation
of newly hired domestic workers
a. Request for processing (RFP) using POEA prescribed form indicating the
following:
1. name of OFW;
2. position;
3. salary;
4. contract duration;
5. job site;
6. particulars of certificate of cover of mandatory insurance; and
7. name of the foreign placement agency and the employer.
b. Passport valid at least six (6) months from the intended date of departure;
c. Valid and appropriate visa;
d. Individual verified employment contract;
e. Pre-Employment Orientation Seminar (PEOS), Pre-Departure Orientation
Seminar (PDOS), and Comprehensive Pre-Departure Education Program
(CPDEP) Certificates;
f. Certificate of medical fitness issued by DOH-accredited medical clinics for
OFWs; and
g. TESDA Skill Certification. (Section 118)","Ang mga sumusunod na dokumento ay dapat isumite para sa pagproseso at dokumentasyon ng kontrata ng mga bagong Domestic Worker:

a. Request para sa pagproseso (RFP) gamit ang form ng POEA na nagpapahiwatig ng
sumusunod:
1. Pangalan ng OFW;
2. Posisyon;
3. Salary;
4. Tagal ng Kontrata;
5. Site ng trabaho;
6. Mga detalye ng sertipiko ng mandatory insurance; at
7. Pangalan ng Foreign Placement Agency at ang employer

b. Wastong pasaporte ng hindi bababa sa anim (6) buwan mula sa inilaan na petsa ng pag -alis;

c. May visa at naaangkop na visa;

d. Indibidwal na -verify na kontrata sa pagtatrabaho;

e. Pre-Employment Orientation Seminar (PEOS), Pre-Departure Orientation
Seminar (PDOS), at komprehensibong programa ng edukasyon ng pre-departure
(CPDEP) Mga sertipiko;

f. Sertipiko ng medikal na fitness na inisyu ng DOH-accredited na mga klinika sa medisina para sa OFWS; at

g.Sertipikasyon ng kasanayan sa TESDA.(Section 118)"
Where can I go for more information?,Pre-Deployment,Pagbalik muli sa ibang bansa at Mga Karagdagang Impormasyon,Returning and Additional Information,Saan ako maaaring pumunta para sa karagdagang impormasyon?,For further information kindly see - https://dmw.gov.ph/archives/laws&rules/files/Q%20&%20A%20on%20Revised%20POEA%20Rules%202016.pdf or call the Department of Migrant Worker's hotline  at 8-722-1144 or 8-722-1155,Para sa karagdagang impormasyon mabuti na tingnan: https://tinyurl.com/dmwlicensereg o tawagan ang hotline ng Department of Migrant Workers (DMW) sa **8-722-1144** o **8-722-1155**
Is it possible to return after the contract ends?,Pre-Deployment,Pagbalik muli sa ibang bansa at Mga Karagdagang Impormasyon,Returning and Additional Information,Pwede ba magtrabaho ulit sa ibang bansa kapag natapos na ang kontrata?,"Yes, OFWs (Overseas Filipino Workers) can work again even if their contract is finished. They can renew their contracts with the same employer or find new employment opportunities either in the same country or in another. It's essential to ensure that all necessary legal and administrative procedures are followed, including securing the appropriate work permits and visas. For assistance and more information, OFWs can contact the Department of Migrant Workers (DMW) or visit their website for job prospects. ","Oo, ang mga OFW (sa ibang bansa na manggagawang Pilipino) ay maaaring bumalik  muli kahit na ang kanilang kontrata ay tapos na. Maaari nilang i-renew ang kanilang mga kontrata sa parehong employer o makahanap ng mga bagong oportunidad sa pagtatrabaho sa parehong bansa o iba pa. Mahalaga upang matiyak na ang lahat ng kinakailangang mga pamamaraan sa ligal at administratibo ay sinusunod, kasama na ang pag -secure ng naaangkop na mga permit sa trabaho at visa. 

Para sa tulong at karagdagang impormasyon, ang mga OFW ay maaaring makipag-ugnay sa Department of MIgrant Workers (DMW) o bisitahin ang kanilang website para sa mga prospect sa trabaho."
What is PDOS?,Pre-Deployment,Oryentasyon at Sertipikasyon,Orientation and Certification,Ano ang PDOS?,"Pre Departure Orientations Seminar or PDOs stands in contrast to the PEOS. The PDOS is conducted just immediately, prior to departure or when migrants already have a contract of work.For further details kindly click this link - https://owwa.gov.ph/?page_id=4136","Ang Pre Departure Orientation Seminar o PDOS ay kakaiba sa PEOS. Ang PDOS ay isinasagawa kaagad, bago ang pag-alis o kapag ang mga migrante ay mayroon nang isang kontrata. 

Para sa karagdagang mga detalye mabuti na i-click ang link na ito - https://owwa.gov.ph/?page_id=4136 "
,Pre-Deployment,Oryentasyon at Sertipikasyon,Orientation and Certification,Kailangan mo ba ng gabay para makakuha ng Overseas Employment Certificate (OEC)?,"REMINDER :  
Before your departure, make sure to take pictures of your contract, passport, and Iqama. Send these to your relatives or make photocopies. This way, if you need assistance, you can be easily located. Having these documents readily available will help authorities or support services find you quickly and provide the necessary aid.","**Paalala:**

Bago ang iyong pag-alis, tiyaking kumuha ng litrato ng iyong kontrata, pasaporte, at IQAMA. Ipadala ito sa iyong mga kamag -anak o gumawa ng mga photocopies. Sa ganitong paraan, kung kailangan mo ng tulong, madali kang matatagpuan. Ang pagkakaroon ng mga dokumentong ito ay madaling magagamit at makakatulong sa mga awtoridad o mga serbisyo na mahahanap ka ng mabilis at maibibigay ang kinakailangang tulong."
What is iqama?,Sahod o Wages,Pangkalahatang Impormasyon,General Information,Ano ang iqama?,"
An Iqama is a residence permit issued to foreign nationals in Saudi Arabia, allowing them to live and work in the country. It serves as an official identification card and contains essential details such as the holder's name, nationality, job title, employer, and Iqama number. The Iqama must be carried at all times and is typically renewed annually. ","Ang isang IQAMA ay isang permit sa paninirahan na ibinibigay sa mga dayuhang nasyonalidad sa Saudi Arabia, na nagpapahintulot sa kanila na manirahan at magtrabaho sa bansa.Nagsisilbi itong isang opisyal na kard ng pagkakakilanlan at naglalaman ng mga mahahalagang detalye tulad ng pangalan ng may-hawak, nasyonalidad, uri ng trabaho, employer, at numero ng IQAMA. Ang iqama ay dapat dalhin sa lahat ng oras at karaniwang binabago taun -taon."
What is PAOS,Sahod o Wages,Pangkalahatang Impormasyon,General Information,Ano ang PAOS?,"The PAOS, or Post Arrival Orientation Seminar, is an orientation seminar that an OFW (Overseas Filipino Worker) undergoes upon arrival in the host country. The employer must also attend the seminar. Additionally, a representative from the Foreign Recruitment Agency (FRA) or the Migrant Workers Office (MWO) and the Philippine Embassy must be present. They will explain the rights and obligations of both the worker and the employer according to the contract and the labor laws of the host country.","Ang PAOS or Post Arrival Orientation Seminar, ay isang orientation na ang isang OFW ay sumasailalim sa pagdating sa host country. Dapat ding dumalo ang employer sa seminar.Bilang karagdagan, ang isang kinatawan mula sa Foreign Recruitment Agency (FRA) o ang Migrant Workers Office (MWO) at ang Embahada ng Pilipinas ay dapat na naroroon. Ipapaliwanag nila ang mga karapatan at obligasyon ng kapwa manggagawa at employer ayon sa kontrata at mga batas sa paggawa ng host na bansa."
What is the meaning of Khadama?,Sahod o Wages,Pangkalahatang Impormasyon,General Information,Ano ang ibig sabihin ng khadama?,Domestic worker,Kasambahay
"I am being abused by my employer, where can I ask for help?",Sahod o Wages,Pag-aabuso at Pag-uulat,Abuse and Reporting,"Inaabuso po ako ng amo ko, saan po pwedeng humingi ng tulong?","If you are being abused by your employer or recruitment agency, please report it to the nearest Migrant Workers Office (MWO) or Philippine Overseas Labor Office (POLO). You can text or call them. Find the nearest MWO/POLO and their contact details in this directory - https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf
If you need further assistance, please wait for a CMA caseworker to assist you. In the meantime, instruct your family members in the Philippines to report your concern. They can contact the hotline at 1348 or email repat@dmw.gov.ph.
To report to your OWWA regional welfare office, click this https://owwa.gov.ph/wp-content/uploads/2022/08/RWOs-Directory-as-of-08262022-2.pdf                                                                                          In cases where the employer violates the worker's rights, including issues of abuse, the law  (Migrant Workers Act of 1995 or RA 8042 stipulates that the employer and the recruitment agency are jointly liable for all claims and damages, ensuring that the worker has avenues for seeking redress and compensation.

Stay strong and know that help is on the way. You've taken an important step by reporting the abuse. Find a safe place to wait and focus on your breathing. You're not alone, and a caseworker will assist you soon.","Kung inaabuso ka ng iyong employer o recruitment agency, mangyaring iulat ito sa pinakamalapit na Migrant Workers Office (MWO) Maaari kang mag-text o tawagan ang mga ito. Hanapin ang pinakamalapit na MWO at ang kanilang mga detalye ng contact sa direktoryo na ito - https://owwa.gov.ph/wp-content/uploads/2022/09/directory-of-overseas-posts-for-dissemination.pdf.

Kung kailangan mo ng karagdagang tulong, mangyaring maghintay para sa isang CMA caseworker na tulungan ka.Samantala, ipaalam sa iyong pamilya sa Pilipinas na iulat ang iyong kalagayan. Maaari silang makipag -ugnayan sa hotline sa 1348 o mag-email sa repat@dmw.gov.ph.

Upang mag-ulat sa OWWA Regional Welfare Office, i-click ang https://owwa.gov.ph/wp-content/uploads/2022/08/rwos-directory-as-of-08262022-2.pdf sa mga kaso kung saan lumalabag ang employer. Ang mga karapatan ng manggagawa, kabilang ang mga isyu ng pang-aabuso, ang batas (Migrant Workers Act of 1995 o RA 8042 ay nagtatakda na ang employer at ahensya ng recruitment ay magkakasamang mananagot para sa lahat ng mga claims at damages. Tinitiyak na ang manggagawa ay may mga paraan para sa paghanap ng redress at kabayaran.

Manatiling malakas at alamin na ang tulong ay parating na. Gumawa ka ng isang mahalagang hakbang sa pamamagitan ng pag-uulat ng pang-aabuso. Maghanap ng isang ligtas na lugar upang maghintay ng tulong. Hindi ka nag-iisa, at tutulungan ka ng isang caseworker sa lalong madaling panahon."
Where can I report if my employer is not giving me my salary?,Sahod o Wages,Pag-aabuso at Pag-uulat,Abuse and Reporting,Saan pwede magreport kung hindi binibigay ng amo ko ang sahod ko?,"First, ensure you have a record of your unpaid salary and your employment contract. Next, report it to your recruitment agency. If your recruitment agency does not assist you, report it to the nearest Migrant Workers Office (MWO) or Philippine Overseas Labor Office (POLO). You can text or call them. Find the nearest MWO and their contact details in the directory - https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf

The MWO ensures the protection of the rights and promotes the welfare and interests of overseas Filipino migrant workers, assisting with all employer-employee relationship issues.                                                                                                                                                                                                          REMEMBER: According to the POEA Standard Employment Contract for Filipino Household Service Workers (HSWs) Bound for the Kingdom of Saudi Arabia (2013):

“The employer shall open a bank account for the HSW in KSA, subject to SAMA rules and regulations, and shall deposit regularly every end of the month the salary of the HSW into the said account. The passbook or deposit slip, or their equivalent, shall be given to the HSW and remain in his/her custody. The employer shall help the HSW to remit his/her salary through proper banking channels.”","Una, tiyakin na mayroon kang isang talaan ng iyong hindi bayad na suweldo at ang iyong kontrata sa pagtatrabaho. Sunod, iulat ito sa iyong recruitment agency. Kung ang iyong ahensya ay hindi makakatulong sa iyo, iulat ito sa pinakamalapit na Migrant Workers Office (MWO). Maaari kang mag-text o tawagan ang mga ito. Hanapin ang pinakamalapit na MWO at ang kanilang mga detalye ng contact sa direktoryo - https://owwa.gov.ph/wp-content/uploads/2022/09/directory-of-overseas-posts-for-dissemination.pdf 

Tinitiyak ng MWO ang proteksyon ng mga karapatan at nagtataguyod ng kapakanan at interes ng mga manggagawa sa migranteng Pilipino, na tumutulong sa lahat ng mga isyu sa relasyon sa employer. 

**Alalahanin:** Ayon sa POEA Standard Employment Contract para sa Household Service Workers (HSWs)  para sa Kaharian ng Saudi Arabia (2013):

""Ang employer ay magbubukas ng isang account sa bangko para sa HSW sa KSA, napapailalim sa mga panuntunan at regulasyon ng SAMA, at dapat na regular na magdeposito sa bawat katapusan ng buwan ang suweldo ng HSW sa nasabing account. Ang passbook o deposit slip, o ang kanilang katumbas, ay ibibigay sa HSW at manatili sa kanyang pag-iingat. Tutulungan ng employer ang HSW na i-remit ang kanyang suweldo sa pamamagitan ng wastong mga channel sa pagbabangko."""
